# Generated on Fri Nov 24 00:00:10 2006
#
# This information is public domain, and comes from http://www.npemap.org.uk/
#
# <outward>,<inward>,<easting>,<northing>,<WGS84 lat>,<WGS84 long>
AL1,3XW,515144,206992,51.749799,-0.333430
AL1,4QH,516664,207552,51.754517,-0.311234
AL1,5DJ,516840,207216,51.751461,-0.308798
AL10,,523016,207896,51.756251,-0.219135
AL10,9HQ,523608,206952,51.747637,-0.210898
AL10,9QT,522008,205904,51.738570,-0.234429
AL2,3XL,512784,201952,51.704981,-0.369233
AL3,4AS,513904,206144,51.742431,-0.351662
AL3,4TL,514008,207640,51.755854,-0.349667
AL3,5NQ,514856,207736,51.756544,-0.337355
AL3,5SU,524424,205992,51.738830,-0.199427
AL3,6DY,514064,209680,51.774177,-0.348187
AL3,7,510552,212624,51.801340,-0.398130
AL3,7NL,510320,211776,51.793765,-0.401763
AL4,0AE,517176,206208,51.742332,-0.304272
AL4,0DS,517416,207200,51.751197,-0.300464
AL4,0EL,516160,206800,51.747864,-0.318783
AL4,0TT,518208,206872,51.748083,-0.289107
AL4,8NY,518024,213400,51.806789,-0.289554
AL5,,507072,219120,51.860401,-0.446571
AL5,1LX,514768,213608,51.809335,-0.336689
AL5,3LQ,512088,215488,51.826775,-0.374938
AL5,4HE,513632,215184,51.823731,-0.352643
AL5,4SJ,513704,214128,51.814226,-0.351945
AL5,5NG,514040,214360,51.816243,-0.346997
AL5,5RJ,514336,214624,51.818555,-0.342618
AL6,0LA,527336,214704,51.816466,-0.154085
AL6,0RA,524736,217216,51.839626,-0.190879
AL6,9BX,519424,216648,51.835681,-0.268139
AL7,,524648,214336,51.813764,-0.193192
AL8,7AD,524232,214304,51.813569,-0.199235
AL8,7HP,523864,214136,51.812141,-0.204630
AL9,6NS,526728,203336,51.714446,-0.167043
AL9,7AE,525544,203448,51.715718,-0.184132
AL9,7BL,525832,204744,51.727301,-0.179497
AL9,7BW,523848,203896,51.720121,-0.208509
AL9,7QX,524392,204552,51.725896,-0.200404
AL9,7QY,523384,203640,51.717923,-0.215313
AL9,7RN,523336,202320,51.706071,-0.216475
AL9,7SU,524200,204080,51.721697,-0.203351
AL9,7UL,525304,201640,51.699524,-0.188253
AL9,7UT,523664,203496,51.716567,-0.211313
B10,0DP,409728,285088,52.463650,-1.858245
B11,2HH,411048,284064,52.454419,-1.838850
B11,3DP,411240,282960,52.444490,-1.836061
B12,9PX,407272,284136,52.455129,-1.894414
B13,,406880,283392,52.448445,-1.900198
B13,8BT,407928,283432,52.448791,-1.884777
B13,9DH,408296,283216,52.446844,-1.879368
B13,9ES,408176,282688,52.442099,-1.881146
B13,9RS,407916,281956,52.435522,-1.884988
B13,9TA,408168,282288,52.438503,-1.881274
B14,,408088,277992,52.399883,-1.882553
B14,4,407720,280368,52.421248,-1.887907
B14,7QG,406832,281280,52.429459,-1.900947
B14,7RA,407232,281568,52.432043,-1.895058
B15,1SF,406008,285920,52.471182,-1.912984
B15,2FB,404352,283712,52.451348,-1.937390
B15,2PJ,403880,284192,52.455666,-1.944330
B15,2TT,404816,283528,52.449690,-1.930565
B16,0QZ,405032,287072,52.481548,-1.927334
B16,2UY,406248,284616,52.459456,-1.909474
B16,8QG,405300,286112,52.472915,-1.923403
B16,9DP,404712,286512,52.476517,-1.932054
B16,9LP,407832,289600,52.504242,-1.886047
B17,,402640,286288,52.474516,-1.962562
B17,0QR,402960,283504,52.449487,-1.957874
B17,8,402888,286016,52.472070,-1.958913
B18,4AS,404480,288400,52.493491,-1.935445
B2,4ND,406992,286704,52.478219,-1.898482
B20,3DP,407224,290608,52.513312,-1.894983
B20,3JE,406776,290952,52.516411,-1.901577
B20,3ST,405848,289824,52.506280,-1.915272
B23,5QL,410480,293624,52.540374,-1.846911
B23,6LR,410400,291736,52.523402,-1.848149
B23,6NA,410768,292496,52.530227,-1.842701
B23,6QH,411344,292248,52.527986,-1.834218
B23,6UB,411040,292344,52.528856,-1.838696
B23,7NH,410112,290888,52.515784,-1.852419
B24,0JT,412384,291528,52.521491,-1.818915
B26,3PU,415576,283712,52.451145,-1.772235
B27,6AH,411800,283688,52.451023,-1.827797
B27,6EB,412472,283520,52.449498,-1.817915
B28,0BY,409960,280384,52.421357,-1.854969
B28,8AA,410600,282192,52.437599,-1.845501
B28,8EF,410016,282200,52.437681,-1.854092
B28,9EH,410888,281096,52.427740,-1.841300
B29,,405888,286624,52.477512,-1.914738
B29,4AL,403296,281808,52.434238,-1.952947
B29,6AW,404544,283216,52.446887,-1.934571
B29,6DA,404960,282384,52.439404,-1.928463
B29,6DR,404560,282712,52.442356,-1.934343
B29,6DW,404464,282688,52.442141,-1.935755
B29,6TP,404112,282464,52.440130,-1.940936
B29,6TS,404016,282592,52.441281,-1.942347
B29,7DU,404912,283120,52.446021,-1.929158
B29,7HW,405216,283120,52.446018,-1.924686
B29,7SP,405264,281816,52.434295,-1.923999
B3,2BJ,406968,287312,52.483685,-1.898823
B3,2DT,406840,287304,52.483615,-1.900708
B30,1JT,404448,281464,52.431137,-1.936006
B30,1LG,405088,281088,52.427752,-1.926599
B30,2AE,404432,281648,52.432792,-1.936239
B30,2BB,404920,281496,52.431421,-1.929064
B30,2EB,404056,280936,52.426393,-1.941778
B30,2HN,405040,280760,52.424803,-1.927310
B30,2XN,405792,282072,52.436591,-1.916229
B30,3DL,404560,279576,52.414163,-1.934384
B31,2EJ,403472,279808,52.416257,-1.950378
B31,2JA,402560,279208,52.410867,-1.963791
B31,2PY,402448,278968,52.408710,-1.965439
B31,2TW,401344,277616,52.396559,-1.981674
B31,2XU,403024,280288,52.420574,-1.956961
B33,0TD,415248,286344,52.474816,-1.776942
B33,8AJ,413000,287488,52.485158,-1.809993
B33,8JU,414648,287008,52.480801,-1.785746
B35,6QJ,414464,291240,52.518851,-1.788273
B36,0HJ,415176,290720,52.514157,-1.777804
B36,9AR,414896,289440,52.502658,-1.781986
B37,6LS,418768,289144,52.499878,-1.724963
B37,7AB,416744,285504,52.467221,-1.754959
B4,7UL,407456,286808,52.479148,-1.891648
B4,7XG,407992,287112,52.481873,-1.883749
B40,1PA,418752,283784,52.451693,-1.725498
B42,1LN,405016,292712,52.532251,-1.927487
B42,1NJ,405008,292544,52.530741,-1.927607
B42,2EJ,405456,293640,52.540590,-1.920986
B43,,406064,295008,52.552882,-1.911997
B45,8PA,400608,273696,52.361319,-1.992496
