Number,Line,Station,Zone,YEAR,AUTHORITY,CLOSED,Cumulative,POP-Density-1871,POP-Density-1881,POP-Density-1891,POP-Density-1901,POP-Density-1911,POP-Density-1921,POP-Density-1931,POP-Density-1941,POP-Density-1951,POP-Density-1961,POP-Density-1971,POP-Density-1981,POP-Density-1991,POP-Density-2001,Distance to City of London (miles),"North of Thames [1,0]",NorthDistance,SouthDistance,Areas (km_),ID-Rail,CumulativeRailStationsAtDate,ID-Tube,CumulativeTubeStationsAtDate,DecadeTube,Rank,PopDensRank1841
154,Metropolitan,Farringdon,1,1863,Islington,,1,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,26,5,1,2,1860,93,4
155,Metropolitan,King's Cross St. Pancras,1,1863,Camden,,1,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,26,9,1,4,1860,105,5
156,Metropolitan,Euston Square,1,1863,Camden,,1,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,26,9,1,4,1860,105,5
157,Metropolitan,Great Portland Street,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
158,Metropolitan,Baker Street,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
270,Hammersmith and City,Paddington,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
271,Hammersmith and City,Edgware Road,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
272,Hammersmith and City,Baker Street,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
273,Hammersmith and City,Great Portland Street,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
274,Hammersmith and City,Euston Square,1,1863,Camden,,1,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,26,9,1,4,1860,105,5
275,Hammersmith and City,King's Cross St. Pancras,1,1863,Camden,,1,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,26,9,1,4,1860,105,5
276,Hammersmith and City,Farringdon,1,1863,Islington,,1,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,26,5,1,2,1860,93,4
362,District,Paddington,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
363,District,Edgware Road,1,1863,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,26,2,1,8,1860,19,2
263,Hammersmith and City,Hammersmith  (Hammersmith and City Line),2,1864,Hammersmith and Fulham,,1,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,27,2,2,2,1860,175,10
265,Hammersmith and City,Shepherd's Bush,2,1864,Hammersmith and Fulham,,1,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,27,2,2,2,1860,175,10
267,Hammersmith and City,Ladbroke Grove,2,1864,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,27,2,2,2,1860,133,8
322,District,Kensington (Olympia) ,2,1864,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,27,2,2,2,1860,133,8
152,Metropolitan,Moorgate,1,1865,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,28,6,3,4,1860,1,1
153,Metropolitan,Barbican,1,1865,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,28,6,3,4,1860,1,1
277,Hammersmith and City,Barbican,1,1865,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,28,6,3,4,1860,1,1
278,Hammersmith and City,Moorgate,1,1865,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,28,6,3,4,1860,1,1
268,Hammersmith and City,Westbourne Park,2,1866,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,29,3,4,9,1860,19,2
188,Northern,Mill Hill East,4,1867,Barnet,,1,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,30,3,5,3,1860,292,27
189,Northern,Finchley Central,4,1867,Barnet,,1,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,30,3,5,3,1860,292,27
190,Northern,East Finchley,3,1867,Barnet,,1,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,30,3,5,3,1860,292,27
191,Northern,Highgate,3,1867,Haringey,,1,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,30,5,5,1,1860,211,18
266,Hammersmith and City,Latimer Road,2,1868,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,31,2,6,8,1860,133,8
324,District,Gloucester Road,1,1868,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,31,2,6,8,1860,133,8
325,District,South Kensington,1,1868,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,31,2,6,8,1860,133,8
326,District,Sloane Square,1,1868,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,31,2,6,8,1860,133,8
327,District,Victoria,1,1868,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,31,4,6,13,1860,19,2
328,District,St. James's Park,1,1868,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,31,4,6,13,1860,19,2
329,District,Westminster,1,1868,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,31,4,6,13,1860,19,2
359,District,High Street Kensington,1,1868,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,31,2,6,8,1860,133,8
360,District,Notting Hill Gate,1,1868,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,31,2,6,8,1860,133,8
361,District,Bayswater,1,1868,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,31,4,6,13,1860,19,2
321,District,West Brompton,2,1869,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,32,3,7,9,1860,133,8
330,District,Embankment,1,1870,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,33,4,8,14,1870,19,2
331,District,Temple,1,1870,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,33,7,8,6,1870,1,1
332,District,Blackfriars,1,1870,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,33,7,8,6,1870,1,1
269,Hammersmith and City,Royal Oak,2,1871,Westminster,,1,20776,21866,22956,21547,20571,19640,18455,17345,15570,13988,12436,11062,7630,8730,3,1,3,0,21,34,4,9,15,1870,19,2
323,District,Earl's Court ,1,1871,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,34,3,9,10,1870,133,8
184,Northern,High Barnet,5,1872,Barnet,,1,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,35,6,10,6,1870,292,27
185,Northern,Totteridge and Whetstone,4,1872,Barnet,,1,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,35,6,10,6,1870,292,27
186,Northern,Woodside Park ,4,1872,Barnet,,1,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,35,6,10,6,1870,292,27
151,Metropolitan,Liverpool Street,1,1874,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,37,10,11,8,1870,1,1
279,Hammersmith and City,Liverpool Street,1,1874,City of London,,1,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,37,10,11,8,1870,1,1
311,District,Hammersmith,2,1874,Hammersmith and Fulham,,1,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,37,4,11,3,1870,175,10
313,District,West Kensington,2,1874,Kensington and Chelsea,,1,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,37,3,11,11,1870,133,8
300,District,Richmond,4,1877,Richmond,,1,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,39,10,12,2,1870,217,15
301,District,Kew Gardens,3,1877,Richmond,,1,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,39,10,12,2,1870,217,15
302,District,Gunnersbury,3,1877,Hounslow,,1,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,39,8,12,2,1870,219,16
308,District,Turnham Green,2,1877,Hounslow,,1,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,39,8,12,2,1870,219,16
310,District,Ravenscourt Park,2,1877,Hammersmith and Fulham,,1,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,39,4,12,4,1870,175,10
348,District,Upton Park,3,1877,Newham,,1,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,39,12,12,1,1870,198,14
303,District,Ealing Broadway,3,1879,Ealing,,1,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,41,6,13,4,1870,231,22
159,Metropolitan,Finchley Road,2,1879,Camden,,1,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,41,14,13,7,1870,105,5
242,Jubilee,Willesden Green,2,1879,Brent,,1,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,41,5,13,2,1870,255,29
243,Jubilee,Kilburn ,2,1879,Brent,,1,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,41,5,13,2,1870,255,29
244,Jubilee,West Hampstead,2,1879,Camden,,1,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,41,14,13,7,1870,105,5
245,Jubilee,Finchley Road,2,1879,Camden,,1,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,41,14,13,7,1870,105,5
304,District,Ealing Common,3,1879,Ealing,,1,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,41,6,13,4,1870,231,22
305,District,Acton Town,3,1879,Ealing,,1,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,41,6,13,4,1870,231,22
